hpf,lpf,harmonics,window_s,ema_alpha,accuracy,L_accuracy,R_accuracy,n_trials,lat_first_p50_ms,lat_first_p95_ms,lat_sus_p50_ms,lat_sus_p95_ms,lat_sus_n
8.0,90.0,10,1.5,0.3,0.625,1.0,0.25,40,277.9998779296875,2487.1499776840205,245.99993228912354,4515.600085258482,34
25.0,45.0,1,1.0,0.3,0.575,0.2,0.95,40,284.0001583099365,1251.2500643730154,648.0000019073486,5100.1999855041495,37
3.0,45.0,5,1.0,0.5,0.65,1.0,0.3,40,187.99996376037598,3018.9998626709003,195.9998607635498,3473.3998775482155,35
25.0,80.0,10,1.5,0.9,0.5,1.0,0.0,40,116.00017547607422,965.2001857757557,116.00005626678467,291.80004596710205,22
3.0,60.0,7,4.0,0.9,0.525,0.8,0.25,40,847.9998111724854,6342.0000076293945,793.9999103546143,4053.3500671386714,24
3.0,80.0,5,4.0,0.3,0.7,0.95,0.45,40,1032.0000648498535,4801.750004291534,1375.999927520752,4631.850063800812,32
16.0,30.0,5,2.5,0.3,0.775,0.95,0.6,40,480.0000190734863,3220.20013332367,487.99991607666016,3221.0000276565547,35
16.0,60.0,10,2.5,0.3,0.775,0.9,0.65,40,702.0000219345093,3040.0000333786,1021.9999551773071,3849.999964237213,36
16.0,80.0,5,0.5,0.0,0.575,0.95,0.2,40,101.99999809265137,738.4000539779662,705.9999704360962,5284.150040149688,38
3.0,30.0,1,0.5,0.0,0.675,0.95,0.4,40,245.99993228912354,1171.3501453399658,566.0001039505005,3153.4500360488864,40
8.0,45.0,7,1.0,0.3,0.65,1.0,0.3,40,195.9998607635498,2305.8000802993784,255.99992275238037,2179.6001076698303,34
12.0,60.0,1,2.5,0.7,0.55,0.1,1.0,40,276.0000228881836,3730.600070953366,273.9999294281006,2836.400079727173,22
16.0,30.0,7,2.5,0.3,0.775,0.95,0.6,40,483.99996757507324,3256.200098991395,771.9998359680176,3221.0000276565547,35
12.0,30.0,1,1.0,0.7,0.5,0.0,1.0,40,180.00006675720215,3880.4999589920044,138.50009441375732,3343.7498807907104,26
16.0,90.0,10,0.5,0.9,0.5,1.0,0.0,40,72.00002670288086,5391.300082206724,67.99983978271484,1422.3998546600333,25
16.0,45.0,7,4.0,0.3,0.75,1.0,0.5,40,884.0000629425049,4382.999968528748,1001.9999742507935,4197.000050544737,34
16.0,90.0,10,1.0,0.0,0.55,1.0,0.1,40,161.99994087219238,1329.0501475334142,587.9998207092285,4520.700049400331,39
16.0,80.0,10,2.5,0.7,0.775,1.0,0.55,40,483.99996757507324,4004.4000148773184,1026.0000228881836,4007.9999566078186,36
8.0,90.0,1,4.0,0.5,0.7,0.95,0.45,40,716.0000801086426,4386.50002479553,676.0001182556152,3855.2000284194946,30
25.0,45.0,7,2.5,0.5,0.525,1.0,0.05,40,716.0000801086426,5652.199983596796,452.0001411437988,3974.2000818252554,27
3.0,60.0,5,2.5,0.9,0.7,0.95,0.45,40,480.0000190734863,4545.0000286102295,480.0000190734863,3876.99999809265,29
8.0,80.0,5,1.5,0.5,0.65,1.0,0.3,40,255.99980354309082,2940.1998519897443,255.99980354309082,2913.7999534606924,33
3.0,30.0,5,1.5,0.9,0.575,1.0,0.15,40,184.00001525878906,3697.0000267028804,185.99998950958252,3711.000025272369,28
8.0,80.0,5,0.5,0.9,0.5,1.0,0.0,40,55.9999942779541,2634.80005264282,61.99991703033447,1175.8000373840325,22
25.0,80.0,5,2.5,0.9,0.6,1.0,0.2,40,388.0000114440918,5471.499919891357,452.0001411437988,4890.599966049189,29
12.0,60.0,1,0.5,0.5,0.5,0.0,1.0,40,84.0001106262207,4749.80001449585,82.0000171661377,5168.750047683716,26
16.0,60.0,3,1.0,0.3,0.9,1.0,0.8,40,151.99995040893555,1114.0500426292417,600.0001430511475,2231.2999486923222,39
16.0,45.0,5,1.0,0.3,0.65,1.0,0.3,40,189.99993801116943,2190.79999923706,366.00005626678467,2192.9999828338623,38
3.0,60.0,1,2.5,0.0,0.7,1.0,0.4,40,514.0000581741333,3360.7998371124204,776.0000228881836,2940.399992465973,30
12.0,45.0,5,0.5,0.5,0.85,1.0,0.7,40,166.0001277923584,874.950110912322,307.99996852874756,1453.2501339912415,40
25.0,90.0,1,1.5,0.7,0.5,0.15,0.85,40,424.50010776519775,4242.250144481659,980.0000190734863,3463.0000591278076,31
12.0,45.0,7,1.5,0.3,0.9,0.9,0.9,40,261.9999647140503,1431.7501306533811,855.9999465942383,2957.0000529289223,40
12.0,90.0,7,1.0,0.3,0.85,0.85,0.85,40,195.99997997283936,1153.400182723999,514.5000219345093,1855.8001399040213,40
16.0,90.0,1,4.0,0.0,0.5,0.0,1.0,40,552.0000457763672,4790.999865531919,530.0000905990601,851.65001153946,20
16.0,45.0,7,1.0,0.7,0.65,1.0,0.3,40,180.00006675720215,2425.8000373840337,395.9999084472656,2425.8000373840337,39
25.0,80.0,7,2.5,0.5,0.625,0.95,0.3,40,378.00002098083496,3593.39996576309,452.0001411437988,4483.000040054321,31
16.0,80.0,5,1.0,0.0,0.65,1.0,0.3,40,195.99997997283936,1219.6000456809975,713.99986743927,3116.1999344825713,40
25.0,80.0,7,4.0,0.9,0.475,0.9,0.05,40,622.5000619888306,5981.249928474426,555.9999942779541,1919.5999622344966,19
8.0,90.0,7,1.0,0.9,0.525,1.0,0.05,40,161.99994087219238,5451.050066947936,151.99995040893555,5487.950062751769,30
16.0,45.0,3,2.5,0.5,0.825,0.9,0.75,40,483.99996757507324,2691.4000034332275,794.4999933242798,3181.0001015663147,38
12.0,30.0,7,2.5,0.5,0.875,0.9,0.85,40,468.00005435943604,2182.749998569488,621.0000514984131,3581.7999362945548,37
16.0,90.0,10,4.0,0.9,0.525,0.95,0.1,40,608.5000038146973,5766.75009727478,597.9999303817749,3233.600008487701,22
8.0,80.0,5,4.0,0.3,0.625,1.0,0.25,40,718.500018119812,4474.55003261566,636.0001564025879,4412.000083923337,29
12.0,80.0,3,1.0,0.9,0.85,0.75,0.95,40,228.00004482269287,2453.3999562263484,623.9999532699585,2453.3999562263484,40
12.0,90.0,10,4.0,0.9,0.575,0.7,0.45,40,2334.5000743865967,5592.450046539307,884.0000629425049,5204.100012779235,27
16.0,80.0,3,2.5,0.5,0.8,0.85,0.75,40,612.0001077651978,3117.9999947547913,1006.5000057220459,3667.999851703644,34
16.0,45.0,7,4.0,0.5,0.75,1.0,0.5,40,740.0000095367432,4382.999968528748,730.4999828338623,4245.000052452087,32
3.0,60.0,7,4.0,0.3,0.7,0.8,0.6,40,730.4999828338623,4141.399872303008,1434.000015258789,5011.250054836272,34
12.0,45.0,1,0.5,0.9,0.5,0.0,1.0,40,57.99996852874756,92.20000505447389,57.99996852874756,92.20000505447389,20
25.0,90.0,3,1.5,0.3,0.6,0.2,1.0,40,292.00005531311035,2051.0000467300433,400.00009536743164,2499.599933624266,33
25.0,90.0,1,0.5,0.9,0.55,0.25,0.85,40,84.0001106262207,5232.500123977655,87.99982070922852,3257.000112533566,33
8.0,80.0,10,1.5,0.0,0.675,1.0,0.35,40,296.00000381469727,2557.649958133691,740.0000095367432,2766.599965095519,35
3.0,45.0,1,4.0,0.0,0.725,0.95,0.5,40,694.0000057220459,4861.050057411193,730.4999828338623,3513.4000062942505,30
3.0,90.0,3,1.0,0.7,0.7,1.0,0.4,40,155.99989891052246,2982.099986076356,696.4999437332153,2908.150017261505,38
16.0,80.0,1,2.5,0.5,0.5,0.0,1.0,40,233.99996757507324,484.59997177124023,233.99996757507324,484.59997177124023,20
25.0,45.0,10,4.0,0.9,0.475,0.95,0.0,40,504.00006771087646,851.4000058174149,452.0001411437988,722.8999614715575,19
16.0,60.0,5,2.5,0.7,0.775,0.9,0.65,40,485.9999418258667,3548.8000035285945,485.9999418258667,3807.9997897148132,36
8.0,30.0,5,2.5,0.3,0.675,1.0,0.35,40,483.99996757507324,4720.199966430661,386.00003719329834,2989.199995994568,32
12.0,30.0,1,0.5,0.5,0.5,0.0,1.0,40,88.00005912780762,3453.000009059906,84.0001106262207,3295.5999374389644,30
25.0,45.0,10,2.5,0.3,0.575,1.0,0.15,40,667.9999828338623,5518.599987030031,601.9999980926514,3880.000007152557,28
25.0,60.0,1,0.5,0.9,0.525,0.1,0.95,40,83.9998722076416,4575.000047683716,84.0001106262207,4628.2000541687,29
8.0,60.0,1,1.5,0.5,0.675,1.0,0.35,40,275.99990367889404,3015.8000111579886,287.99986839294434,2969.000005722046,35
8.0,80.0,7,0.5,0.0,0.5,1.0,0.0,40,169.99995708465576,1814.0500903129575,238.0000352859497,3914.4000768661467,34
3.0,45.0,5,1.0,0.7,0.675,1.0,0.35,40,195.9998607635498,2633.000087738033,195.9998607635498,3690.1999235153176,35
16.0,45.0,7,0.5,0.7,0.525,1.0,0.05,40,92.00000762939453,2254.400026798248,196.0000991821289,3885.400140285488,40
12.0,60.0,3,1.5,0.9,0.775,0.6,0.95,40,952.0001411437988,3496.1999893188445,867.999792098999,3073.8998889923087,35
8.0,45.0,7,4.0,0.0,0.725,1.0,0.45,40,730.4999828338623,4798.750042915344,676.0001182556152,4215.600085258482,30
12.0,80.0,10,2.5,0.7,0.825,0.85,0.8,40,547.9999780654907,3682.799994945526,667.9999828338623,3335.399866104124,37
25.0,45.0,5,2.5,0.9,0.5,1.0,0.0,40,248.0001449584961,4150.6001234054565,226.0000705718994,496.9999194145204,20
8.0,80.0,10,1.5,0.7,0.625,1.0,0.25,40,255.99980354309082,2949.9999523162837,255.99980354309082,4095.7999229431125,33
8.0,30.0,7,1.5,0.7,0.675,1.0,0.35,40,236.00006103515625,4595.600032806395,226.0000705718994,4081.3001036643977,32
25.0,45.0,7,4.0,0.7,0.5,0.95,0.05,40,636.0001564025879,5768.599939346313,575.9999752044678,3684.8500370979323,20
16.0,80.0,3,4.0,0.0,0.7,0.85,0.55,40,720.9999561309814,3114.2000436782855,1541.0001277923584,3659.399890899656,29
25.0,80.0,3,1.0,0.0,0.575,0.15,1.0,40,314.500093460083,1551.7501115798943,812.5,4541.200089454651,38
25.0,90.0,7,4.0,0.9,0.5,0.95,0.05,40,599.9999046325684,4771.400117874141,555.9999942779541,987.9999160766602,21
3.0,30.0,3,0.5,0.0,0.5,1.0,0.0,40,195.99997997283936,2168.450045585629,462.0000123977661,4345.550012588499,38
8.0,45.0,1,4.0,0.9,0.475,0.95,0.0,40,622.5000619888306,6845.749914646149,608.5000038146973,5433.050119876858,24
25.0,90.0,5,0.5,0.0,0.5,0.85,0.15,40,82.0000171661377,767.7999615669245,508.00013542175293,4562.299966812137,39
8.0,90.0,5,0.5,0.7,0.5,1.0,0.0,40,95.99995613098145,4092.2000408172607,87.99982070922852,4594.599962234495,29
3.0,80.0,7,2.5,0.3,0.725,0.95,0.5,40,466.0000801086426,3234.850132465362,884.0000629425049,3610.7000589370728,35
8.0,60.0,3,1.5,0.5,0.7,1.0,0.4,40,267.99988746643066,2853.8000106811505,245.99993228912354,4217.650091648101,32
8.0,90.0,3,2.5,0.3,0.675,1.0,0.35,40,577.9999494552612,3221.7999815940852,480.0000190734863,3392.5999164581294,33
